State,District,Subdistrict,City,City_Regiotype,Pincode,Locality,Sublocality,Sublocality_ID,Competition_Store,Key_Categories,Key_Brands
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Panchamrut Bunglows II,155,Competition2,Mens  Formals,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Competition4,Personal Accessories,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition4,E-Com Brands,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Competition1,BTL Fashion & Active Sports,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition3,E-Com Brands,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Mem Nagar,Nilmani Society,147,Competition4,BTL Fashion & Active Sports,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,BTL Fashion & Active Sports,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition5,E-Com Brands,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition2,Personal Accessories,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Bhaikakanagar,19,Competition2,Personal Accessories,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Mem Nagar,Sarathi Co-operative Housing Society,213,Competition2,BTL Fashion & Active Sports,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Someshwar Park III,245,Competition5,Mens  Formals,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Satellite,Premchand Nagar,182,Competition4,Mens  Formals,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,BTL Fashion & Active Sports,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition3,Personal Accessories,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition3,Mens  Formals,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vikram Nagar,Vikram Nagar,430,Competition5,BTL Fashion & Active Sports,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Competition3,Mens  Formals,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Mem Nagar,Mem Nagar,348,Competition2,Personal Accessories,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Competition1,E-Com Brands,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition1,E-Com Brands,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Sumeru,251,Competition1,BTL Fashion & Active Sports,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380058,Thaltej,PRL Colony,185,Competition1,BTL Fashion & Active Sports,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition4,Mens  Formals,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,Mens  Formals,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Sumeru,251,Competition2,BTL Fashion & Active Sports,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Hebatpur Village,79,Competition3,Mens  Formals,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Gurukul,Sunrise Park,254,Competition1,E-Com Brands,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Competition3,E-Com Brands,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Competition3,BTL Fashion & Active Sports,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition2,BTL Fashion & Active Sports,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Thaltej,Someshwar Park III,245,Competition1,E-Com Brands,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Thaltej,Nirant Park Society Part 1,148,Competition3,Mens  Formals,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Gurukul,Sunrise Park,254,Competition4,BTL Fashion & Active Sports,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Mem Nagar,Mem Nagar,348,Competition4,Personal Accessories,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380051,Bodakdev,Bodakdev,293,Competition3,Personal Accessories,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Competition2,Personal Accessories,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,Personal Accessories,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Someshwar Park III,245,Competition5,Personal Accessories,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Competition1,Mens  Formals,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Thaltej,Nirant Park Society Part 2,149,Competition2,Personal Accessories,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Sumeru,251,Competition5,BTL Fashion & Active Sports,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition2,BTL Fashion & Active Sports,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Ghatlodia,Shenbhai Nagar,239,Competition5,E-Com Brands,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition1,BTL Fashion & Active Sports,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Competition1,Mens  Formals,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Gurukul,Sunrise Park,254,Competition2,Personal Accessories,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Mem Nagar,Nilmani Society,147,Competition4,Mens  Formals,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Competition4,Mens  Formals,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Panchamrut Bunglows II,155,Competition2,Personal Accessories,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition1,Personal Accessories,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition1,BTL Fashion & Active Sports,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vikram Nagar,Vikram Nagar,430,Competition2,E-Com Brands,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Bhaikakanagar,19,Competition1,Mens  Formals,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Sumeru,251,Competition5,Mens  Formals,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Competition3,BTL Fashion & Active Sports,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition5,E-Com Brands,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition1,E-Com Brands,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Hebatpur Village,79,Competition3,Personal Accessories,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Ashok Vatika,Ashok Vatika,287,Competition3,Mens  Formals,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition1,Mens  Formals,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Someshwar Park III,245,Competition4,Personal Accessories,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Panchamrut Bunglows II,155,Competition1,BTL Fashion & Active Sports,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Competition2,Mens  Formals,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition1,Mens  Formals,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vikram Nagar,Vikram Nagar,430,Competition5,E-Com Brands,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,E-Com Brands,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition3,E-Com Brands,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,BTL Fashion & Active Sports,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Bhaikakanagar,19,Competition3,E-Com Brands,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Competition5,BTL Fashion & Active Sports,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Gurukul,Sunrise Park,254,Competition1,Personal Accessories,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition2,E-Com Brands,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,BTL Fashion & Active Sports,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition3,Personal Accessories,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380061,Ghatlodia,Shenbhai Nagar,239,Competition3,BTL Fashion & Active Sports,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition5,BTL Fashion & Active Sports,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Ashok Vatika,Ashok Vatika,287,Competition3,Mens  Formals,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Competition1,E-Com Brands,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380058,Thaltej,PRL Colony,185,Competition2,Mens  Formals,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition4,Mens  Formals,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Bhaikakanagar,19,Competition4,Mens  Formals,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,Mens  Formals,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Mem Nagar,Nilmani Society,147,Competition4,Mens  Formals,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Sumeru,251,Competition4,BTL Fashion & Active Sports,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Bhaikakanagar,19,Competition2,Mens  Formals,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,Mens  Formals,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380015,Vastrapur,Vastrapur,426,Competition1,E-Com Brands,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Competition3,BTL Fashion & Active Sports,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,Personal Accessories,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Vastrapur,Vastrapur,426,Competition2,E-Com Brands,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,Mens  Formals,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition5,Mens  Formals,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,Personal Accessories,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,Mens  Formals,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,BTL Fashion & Active Sports,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,BTL Fashion & Active Sports,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380058,Ashok Vatika,Ashok Vatika,287,Competition1,BTL Fashion & Active Sports,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Ashok Vatika,Ashok Vatika,287,Competition2,BTL Fashion & Active Sports,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Competition3,Mens  Formals,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition5,Mens  Formals,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Competition4,Personal Accessories,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Competition2,E-Com Brands,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Competition1,E-Com Brands,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition5,BTL Fashion & Active Sports,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380058,Thaltej,PRL Colony,185,Competition5,Mens  Formals,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,BTL Fashion & Active Sports,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Sumeru,251,Competition1,Mens  Formals,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,Mens  Formals,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Satellite,Premchand Nagar,182,Competition1,Mens  Formals,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Competition4,E-Com Brands,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition5,BTL Fashion & Active Sports,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition3,E-Com Brands,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition3,E-Com Brands,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,Personal Accessories,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition3,Personal Accessories,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,Personal Accessories,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Ashok Vatika,Ashok Vatika,287,Competition5,BTL Fashion & Active Sports,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition5,Personal Accessories,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Bhaikakanagar,19,Competition3,BTL Fashion & Active Sports,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,E-Com Brands,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Competition1,Personal Accessories,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,Mens  Formals,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Competition3,BTL Fashion & Active Sports,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Panchamrut Bunglows II,155,Competition5,Mens  Formals,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,E-Com Brands,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Competition2,Personal Accessories,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition3,Personal Accessories,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,BTL Fashion & Active Sports,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,E-Com Brands,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Competition3,Mens  Formals,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition3,BTL Fashion & Active Sports,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Competition3,Mens  Formals,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition1,Mens  Formals,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,Mens  Formals,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition5,E-Com Brands,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition1,E-Com Brands,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,Personal Accessories,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition1,Personal Accessories,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition1,Mens  Formals,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Competition1,Personal Accessories,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition2,BTL Fashion & Active Sports,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Bhaikakanagar,19,Competition3,BTL Fashion & Active Sports,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Ashok Vatika,Ashok Vatika,287,Competition2,BTL Fashion & Active Sports,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Satellite,Premchand Nagar,182,Competition3,Mens  Formals,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vastrapur,Vastrapur,426,Competition1,E-Com Brands,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition1,Mens  Formals,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,Personal Accessories,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,E-Com Brands,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Mem Nagar,Mem Nagar,348,Competition5,Personal Accessories,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,Personal Accessories,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition1,BTL Fashion & Active Sports,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,E-Com Brands,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition2,Personal Accessories,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition5,BTL Fashion & Active Sports,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition5,Personal Accessories,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Competition2,E-Com Brands,PIERRE CARDIN
