Date,Month,SaleVal,Surge,Price,Evening,Midday,Morning,Night,Day,Festival,TransactionFraction,Season
31,January,0.54,1,0.01,1704,1523,549,970,Sunday,1,0.004498649,1
1,February,-0.18,0,0.01,3041,2197,609,1403,Monday,0,0.003503362,1
2,February,-0.2,1,-0.01,2202,1293,542,1609,Tuesday,0,0.002864864,1
3,February,-0.08,0,0.02,1444,1288,414,1471,Wednesday,0,0.002618524,1
4,February,0,0,0.02,1556,1146,375,1143,Thursday,0,0.002522346,1
5,February,-0.07,0,-0.03,1326,886,502,1351,Friday,0,0.002488218,1
6,February,0.3,1,0.02,1659,875,381,1095,Saturday,0,0.003149054,1
7,February,0.47,1,0,1795,1442,490,1348,Sunday,0,0.004692866,1
8,February,-0.2,0,0,2444,2592,710,1817,Monday,0,0.003666554,1
9,February,-0.27,1,-0.04,1918,1353,720,1918,Tuesday,0,0.002766204,1
10,February,0.12,0,0.02,1528,883,648,1399,Wednesday,0,0.00300882,1
11,February,-0.13,0,-0.03,1479,1178,646,1546,Thursday,0,0.002704153,1
12,February,-0.08,0,0,1415,827,627,1489,Friday,0,0.00250311,1
13,February,0.15,0,0.07,1371,1132,547,984,Saturday,0,0.002590601,1
14,February,0.38,1,-0.01,1551,1097,503,1024,Sunday,0,0.003790034,1
15,February,-0.22,1,-0.04,2221,1788,707,1392,Monday,0,0.002998892,1
16,February,-0.05,0,-0.01,1816,1190,407,1420,Tuesday,0,0.002949873,1
17,February,-0.01,0,0.05,1571,1119,638,1426,Wednesday,0,0.002614801,1
18,February,-0.05,0,0.01,1457,867,402,1488,Thursday,0,0.002401348,1
19,February,-0.03,0,-0.03,1167,1025,464,1214,Friday,0,0.00257695,1
20,February,0.07,0,0.03,1513,951,431,1258,Saturday,0,0.002726491,1
21,February,0.68,1,-0.04,1416,1414,488,1076,Sunday,0,0.004695348,1
22,February,-0.31,1,0.03,2470,2458,608,2031,Monday,0,0.003120511,1
23,February,-0.25,1,-0.06,1724,1041,497,1767,Tuesday,0,0.002558335,1
24,February,0.07,0,0.02,1409,832,372,1510,Wednesday,0,0.002611698,1
25,February,-0.12,0,-0.04,1356,946,441,1466,Thursday,0,0.002410655,1
26,February,-0.02,0,0,1305,912,406,1262,Friday,0,0.002295862,1
27,February,0.29,1,0.06,1236,808,513,1143,Saturday,0,0.002918847,1
28,February,0.54,1,0,1518,1494,580,1112,Sunday,0,0.004399368,1
29,February,-0.38,1,-0.04,2449,2070,605,1966,Monday,0,0.002836321,1
1,March,-0.04,0,0.04,1526,935,402,1708,Tuesday,0,0.002658857,1
2,March,0.05,0,-0.01,1488,934,537,1326,Wednesday,0,0.002825772,1
3,March,-0.05,0,-0.02,1699,869,562,1424,Thursday,0,0.002730835,1
4,March,-0.03,0,0.06,1327,1133,495,1446,Friday,0,0.002469603,1
5,March,0.26,1,-0.01,1497,796,513,1174,Saturday,0,0.003178218,1
6,March,0.44,1,0.01,1739,1465,600,1318,Sunday,0,0.004567525,1
7,March,-0.27,1,0.02,2672,2453,612,1624,Monday,0,0.003172633,1
8,March,-0.17,0,-0.04,1880,1341,496,1396,Tuesday,0,0.0028115,1
9,March,0.05,0,0.07,1520,1130,504,1377,Wednesday,0,0.002755655,1
10,March,-0.13,0,-0.04,1633,911,378,1519,Thursday,0,0.002466501,1
11,March,-0.03,0,0.01,1338,869,462,1306,Friday,0,0.002369702,1
12,March,0.3,1,0,1348,948,568,955,Saturday,0,0.003178838,1
13,March,0.49,1,-0.03,1664,1530,783,1146,Sunday,0,0.004942309,1
14,March,-0.33,1,0.03,2821,2579,856,1709,Monday,0,0.003148434,1
15,March,-0.12,0,-0.02,1959,1232,568,1315,Tuesday,0,0.002595565,1
16,March,-0.11,0,0,1459,906,639,1179,Wednesday,0,0.002549028,1
17,March,-0.09,0,-0.03,1541,1022,428,1117,Thursday,0,0.002339918,1
18,March,0.17,0,0.06,1452,878,455,986,Friday,0,0.002570125,1
19,March,0.37,1,-0.02,1521,916,536,1169,Saturday,0,0.003660969,1
20,March,0.1,0,-0.01,150,1033,1936,2781,Sunday,0,0.004059953,1
21,March,-0.15,0,-0.01,478,419,1791,3855,Monday,0,0.003481023,1
22,March,-0.25,1,-0.01,441,374,1641,3154,Tuesday,0,0.002463398,1
23,March,0.06,0,0,1499,826,68,1577,Wednesday,0,0.002680574,1
24,March,-0.13,0,-0.02,1302,903,351,1764,Thursday,0,0.00255213,1
25,March,0.11,0,0.02,1214,888,482,1529,Friday,0,0.002748209,1
26,March,0.16,0,0.02,1390,1275,440,1324,Saturday,0,0.003046671,1
27,March,0.36,1,0.02,1574,1371,557,1408,Sunday,0,0.004165439,1
28,March,-0.23,1,-0.01,2095,2340,665,1613,Monday,0,0.003137885,1
29,March,-0.2,0,-0.02,1673,1041,308,2035,Tuesday,0,0.002541581,1
30,March,-0.05,0,-0.04,1313,904,303,1576,Wednesday,0,0.00250249,1
31,March,-0.12,0,0.04,1304,965,236,1528,Thursday,0,0.002140736,0
1,April,0.17,0,0.02,1057,827,219,1347,Friday,0,0.002481393,0
2,April,0.19,0,-0.01,1368,925,264,1442,Saturday,0,0.002982139,0
3,April,0.63,1,0.03,1723,1423,379,1281,Sunday,0,0.004782839,0
4,April,-0.26,1,-0.03,2476,2028,747,2457,Monday,0,0.003627462,0
5,April,-0.2,0,0.01,1808,1164,535,2339,Tuesday,0,0.002866725,0
6,April,-0.03,0,-0.02,1403,1123,412,1682,Wednesday,0,0.002784819,0
7,April,-0.05,0,0.02,1253,957,555,1723,Thursday,0,0.002602391,0
8,April,-0.03,0,0,1566,848,404,1376,Friday,0,0.002581914,0
9,April,0.18,0,0,1309,1009,490,1353,Saturday,0,0.003056599,0
10,April,0.53,1,0.01,1648,1495,463,1320,Sunday,0,0.004577453,0
11,April,-0.37,1,-0.04,2495,2083,613,2186,Monday,0,0.00308204,0
12,April,-0.08,0,0,1411,1139,426,1991,Tuesday,0,0.002802813,0
13,April,-0.05,0,0.03,1441,948,444,1684,Wednesday,0,0.002451608,0
14,April,-0.08,0,0.03,1305,896,428,1322,Thursday,0,0.002270422,0
15,April,-0.03,0,0,1127,940,302,1290,Friday,0,0.002240637,0
16,April,0.22,1,0,1308,668,432,1203,Saturday,0,0.002755035,0
17,April,0.65,1,-0.01,1392,1350,435,1263,Sunday,0,0.004527813,0
18,April,-0.2,1,0,2381,1833,567,2516,Monday,0,0.003481023,0
19,April,-0.2,1,0.01,1844,1082,602,2082,Tuesday,0,0.002830116,0
20,April,0,0,0,1184,1026,412,1939,Wednesday,0,0.00287293,0
21,April,-0.18,0,-0.04,1266,983,494,1887,Thursday,0,0.002377769,0
22,April,0.05,0,0.06,1140,685,380,1627,Friday,0,0.002402589,0
23,April,0.19,0,-0.04,1065,960,472,1375,Saturday,0,0.003039846,0
24,April,0.47,1,0.04,1492,1535,541,1331,Sunday,0,0.004304431,0
25,April,-0.24,1,-0.04,2358,1639,746,2194,Monday,0,0.003227238,0
26,April,-0.2,1,0,1572,1278,509,1842,Tuesday,0,0.002617903,0
27,April,-0.1,0,-0.02,1171,905,403,1740,Wednesday,0,0.002462157,0
28,April,-0.2,1,-0.01,1138,825,442,1563,Thursday,0,0.002011672,0
29,April,0.15,0,0.02,1040,735,374,1093,Friday,0,0.002233191,0
30,April,0.31,1,0.01,1051,862,383,1303,Saturday,0,0.002948011,0
1,May,0.6,1,0.01,1444,1318,460,1529,Sunday,0,0.004676113,0
2,May,-0.25,1,-0.01,2472,2085,625,2354,Monday,0,0.003442552,0
3,May,-0.2,1,-0.02,1744,1175,615,2014,Tuesday,0,0.002797229,0
4,May,0.09,0,0.03,1270,939,462,1837,Wednesday,0,0.002987723,0
5,May,-0.16,0,0.02,1482,949,453,1931,Thursday,0,0.002376528,0
6,May,0.08,0,-0.06,1213,791,492,1334,Friday,0,0.002866105,0
7,May,0.16,0,0.03,1431,1006,589,1593,Saturday,0,0.003202417,0
8,May,0.34,1,0.01,1641,1657,618,1245,Sunday,0,0.004244863,0
9,May,-0.09,0,0.01,2331,1781,738,1991,Monday,0,0.003692615,0
10,May,-0.24,1,-0.01,1933,1102,592,2324,Tuesday,0,0.002826392,0
11,May,-0.15,0,0.02,1400,1109,545,1501,Wednesday,0,0.00240383,0
12,May,-0.03,0,-0.03,1250,718,383,1523,Thursday,0,0.00237963,0
13,May,0.06,0,0.03,1230,788,524,1293,Friday,0,0.002450988,0
14,May,0.21,1,0.06,1195,764,508,1483,Saturday,0,0.002866725,0
15,May,0.55,1,-0.04,1410,1544,559,1107,Sunday,0,0.004545187,0
16,May,-0.25,1,-0.06,2400,2089,590,2246,Monday,0,0.003581545,0
17,May,-0.26,1,0.01,1932,1083,634,2123,Tuesday,0,0.002673128,0
18,May,0.13,0,0.01,1310,879,374,1745,Wednesday,0,0.002831357,0
19,May,-0.15,0,-0.01,1294,975,330,1964,Thursday,0,0.002546546,0
20,May,-0.03,0,0.01,1340,830,529,1405,Friday,0,0.002450367,0
21,May,0.03,0,0.03,1147,814,522,1466,Saturday,0,0.002495664,0
22,May,0.66,1,-0.01,1255,1320,483,964,Sunday,0,0.004171644,0
23,May,-0.17,0,-0.02,2236,1819,643,2025,Monday,0,0.003335826,0
24,May,-0.17,0,0.02,1841,933,450,2152,Tuesday,0,0.002868587,0
25,May,-0.04,0,-0.02,1404,1118,492,1609,Wednesday,0,0.002737661,0
26,May,-0.19,0,0.01,1479,1015,461,1457,Thursday,0,0.002218299,0
27,May,0.17,0,0.02,1174,711,368,1322,Friday,0,0.002517382,0
28,May,0.09,0,0.01,1308,894,496,1359,Saturday,0,0.002753173,0
29,May,0.3,1,0,1393,1434,448,1162,Sunday,0,0.003474198,0
30,May,-0.03,0,-0.02,2013,1687,570,1329,Monday,0,0.003605124,0
31,May,-0.16,0,0.01,1763,1703,580,1764,Tuesday,0,0.002974693,0
1,June,-0.09,0,-0.03,1590,997,458,1749,Wednesday,0,0.002731455,0
2,June,-0.02,0,0.03,1296,795,363,1948,Thursday,0,0.002617283,0
3,June,0.12,0,0.02,1168,972,599,1479,Friday,0,0.002803434,0
4,June,0,0,0,1277,992,612,1637,Saturday,0,0.002890304,0
5,June,0.53,1,-0.05,1571,1346,572,1169,Sunday,0,0.004679215,0
6,June,-0.23,1,0.03,2626,2168,726,2021,Monday,0,0.00341463,0
7,June,-0.15,0,0.01,1619,1214,380,2290,Tuesday,0,0.0028357,0
8,June,-0.08,0,-0.04,1279,1371,350,1570,Wednesday,0,0.002813982,0
10,June,-0.07,0,0.03,1502,1182,352,1499,Friday,0,0.002538479,0
11,June,0.1,0,-0.01,1361,871,381,1478,Saturday,0,0.002705394,0
12,June,0.61,1,0.01,1571,1464,356,969,Sunday,0,0.004580555,0
13,June,-0.23,1,-0.02,2599,1861,619,2303,Monday,0,0.003461167,0
14,June,-0.15,0,0.07,1863,1239,358,2118,Tuesday,0,0.002782957,0
15,June,-0.04,0,-0.07,1474,993,391,1627,Wednesday,0,0.002813982,0
16,June,-0.14,0,0,1287,860,286,2102,Thursday,0,0.002418722,0
17,June,0,0,-0.01,1287,770,418,1423,Friday,0,0.002538479,0
18,June,0.14,0,0.03,1154,1068,423,1446,Saturday,0,0.002722148,0
19,June,0.51,1,0,1333,1588,481,985,Sunday,0,0.004171644,0
20,June,-0.2,0,-0.06,1901,1972,895,1955,Monday,0,0.003536248,0
21,June,-0.12,0,0.04,1585,1335,592,2187,Tuesday,0,0.003009441,0
22,June,-0.12,0,0.03,1583,1015,442,1810,Wednesday,0,0.002501249,0
23,June,0,0,-0.03,1131,943,450,1507,Thursday,0,0.002506833,0
24,June,0.02,0,0.02,1232,970,443,1395,Friday,0,0.002632175,0
25,June,0.01,0,0.01,1276,1215,434,1317,Saturday,0,0.002640241,0
26,June,0.53,1,-0.01,1172,1317,538,1228,Sunday,0,0.00410587,0
27,June,-0.18,0,-0.04,1993,2185,586,1853,Monday,0,0.003499018,0
28,June,-0.23,1,0.04,1563,1318,356,2402,Tuesday,0,0.002623488,0
29,June,-0.06,0,0.01,1195,1166,363,1504,Wednesday,0,0.002439819,0
30,June,-0.05,0,-0.04,1097,862,326,1647,Thursday,0,0.002390799,0
1,July,0.04,0,0.03,1233,889,401,1330,Friday,0,0.002415619,0
2,July,0.22,1,0.03,1116,1228,332,1217,Saturday,0,0.002831977,0
3,July,0.26,1,0.01,1179,1317,581,1487,Sunday,0,0.003604504,0
4,July,0.08,0,-0.03,1825,1784,723,1477,Monday,0,0.003991077,0
5,July,-0.2,1,-0.03,1972,2451,577,1432,Tuesday,0,0.003317831,0
6,July,-0.09,0,0.05,1681,1511,356,1799,Wednesday,0,0.002769927,0
7,July,-0.18,0,-0.05,1539,1007,324,1594,Thursday,0,0.002446644,0
8,July,0.13,0,0.06,1150,961,360,1472,Friday,0,0.002635898,0
9,July,0.08,0,-0.01,1426,1163,328,1331,Saturday,0,0.002891545,0
10,July,0.45,1,-0.04,1518,1449,458,1235,Sunday,0,0.004306293,0
11,July,-0.23,1,0.02,2325,2078,499,2038,Monday,0,0.003297975,0
12,July,-0.17,0,0.04,1702,1279,381,1953,Tuesday,0,0.002536617,0
13,July,0.08,0,-0.03,1281,1029,265,1513,Wednesday,0,0.002781096,0
14,July,-0.11,0,0.02,1477,1155,214,1636,Thursday,0,0.00249008,0
15,July,-0.01,0,-0.03,1340,964,368,1341,Friday,0,0.002546546,0
16,July,-0.06,0,0.02,1265,1139,358,1342,Saturday,0,0.002364118,0
17,July,0.88,1,0.03,1161,1242,425,982,Sunday,0,0.004461419,0
18,July,-0.25,1,-0.04,2269,2051,666,2204,Monday,0,0.003418353,0
19,July,-0.22,1,-0.01,1615,1409,455,2030,Tuesday,0,0.002644585,0
20,July,-0.14,0,0,1408,996,335,1523,Wednesday,0,0.002339918,0
21,July,0.13,0,-0.04,1312,918,258,1283,Thursday,0,0.002606114,0
22,July,0.03,0,0.04,1196,1146,555,1303,Friday,0,0.002655134,0
23,July,0.15,0,0.05,1338,1177,495,1269,Saturday,0,0.002923812,0
24,July,0.37,1,-0.01,1174,1713,553,1272,Sunday,0,0.004097804,0
25,July,-0.23,1,-0.04,1977,1955,626,2046,Monday,0,0.003220412,0
26,July,-0.2,0,-0.01,1840,1046,335,1969,Tuesday,0,0.002690502,0
27,July,0.12,0,0.04,1359,1274,315,1388,Wednesday,0,0.002877894,0
28,July,-0.22,1,-0.03,1519,915,330,1874,Thursday,0,0.002340538,0
29,July,0.14,0,0.03,1001,905,486,1380,Friday,0,0.002532894,0
30,July,0.05,0,0.04,1280,1015,462,1325,Saturday,0,0.002637139,0
31,July,0.53,1,-0.07,1277,1381,511,1081,Sunday,0,0.00426534,0
1,August,-0.18,0,0,2243,1945,661,2025,Monday,0,0.003514531,0
2,August,-0.13,0,0.01,1811,1399,429,2025,Tuesday,0,0.002964765,0
3,August,-0.18,0,-0.03,1377,1234,442,1725,Wednesday,0,0.002568263,0
4,August,-0.02,0,0.03,1394,997,324,1424,Thursday,0,0.00241624,0
5,August,0.14,0,0.04,1185,847,540,1322,Friday,0,0.002520484,0
6,August,0.12,0,0.01,1266,1120,356,1320,Saturday,0,0.002856797,0
7,August,0.44,1,-0.03,1382,1659,416,1147,Sunday,0,0.004368343,0
8,August,-0.28,1,-0.01,2125,2167,655,2093,Monday,0,0.003148434,0
9,August,-0.07,0,-0.02,1690,1121,381,1882,Tuesday,0,0.002990205,0
10,August,0.07,0,0.04,1590,1205,438,1586,Wednesday,0,0.003175115,0
11,August,-0.2,1,0.03,1360,1151,406,2200,Thursday,0,0.002357292,0
12,August,0.08,0,-0.04,1143,1045,378,1233,Friday,0,0.002711599,0
13,August,0.06,0,0.02,1621,911,424,1414,Saturday,0,0.002791644,0
14,August,0.59,1,0,1255,1538,505,1201,Sunday,0,0.0045123,0
15,August,-0.22,1,-0.02,2279,1902,783,2308,Monday,0,0.003652903,0
16,August,-0.25,1,-0.01,1763,1206,659,2259,Tuesday,0,0.002621006,0
17,August,-0.03,0,0,1364,1039,335,1486,Wednesday,0,0.002582535,0
18,August,-0.16,0,0,1250,929,527,1456,Thursday,0,0.002236914,0
19,August,0.16,0,0.03,1058,744,427,1376,Friday,0,0.002499387,0
20,August,0.06,0,0.02,1300,1025,428,1275,Saturday,0,0.002567022,0
21,August,0.65,1,-0.02,1270,1367,476,1024,Sunday,0,0.004377651,0
22,August,-0.26,1,-0.02,2739,1857,581,1878,Monday,0,0.003304801,0
23,August,-0.24,1,-0.03,1706,1040,599,1981,Tuesday,0,0.002605493,0
24,August,0.06,0,0.01,1308,866,515,1510,Wednesday,0,0.002672508,0
25,August,-0.07,0,0.06,1337,973,405,1592,Thursday,0,0.0023424,0
26,August,-0.14,0,-0.01,1273,812,489,1201,Friday,0,0.00205945,0
27,August,0.42,1,0.03,1103,827,425,964,Saturday,0,0.002914504,0
28,August,0.43,1,-0.02,1563,1571,393,1170,Sunday,0,0.004262237,0
29,August,-0.28,1,0.01,2009,2001,526,2333,Monday,0,0.002998892,0
30,August,-0.17,0,-0.02,1417,1110,526,1780,Tuesday,0,0.002495664,0
31,August,-0.02,0,-0.03,1177,888,378,1579,Wednesday,0,0.002506213,0
1,September,-0.06,0,0.08,1387,826,523,1303,Thursday,0,0.002133911,0
2,September,0.03,0,-0.03,1023,754,367,1295,Friday,0,0.002333713,0
3,September,0.3,1,0,1276,765,371,1349,Saturday,0,0.0030324,0
4,September,0.26,1,-0.02,1524,1628,723,1012,Sunday,0,0.003938955,0
5,September,0.1,0,0.01,1928,2286,683,1451,Monday,0,0.004226248,0
6,September,-0.27,1,-0.02,1874,2250,734,1953,Tuesday,0,0.003095691,0
7,September,-0.07,0,-0.03,1714,1144,532,1599,Wednesday,0,0.003073353,0
8,September,-0.18,0,0.03,1458,1141,483,1871,Thursday,0,0.00239142,0
9,September,0.02,0,0,1406,838,435,1175,Friday,0,0.002518623,0
10,September,0.21,1,-0.03,1198,1254,375,1232,Saturday,0,0.003042948,0
11,September,0.45,1,0.04,1606,1460,685,1153,Sunday,0,0.004390681,0
12,September,-0.25,1,-0.01,2174,2164,688,2050,Monday,0,0.003308524,0
13,September,-0.17,0,0,1763,1102,488,1979,Tuesday,0,0.002725871,0
14,September,-0.03,0,-0.02,1410,1014,547,1422,Wednesday,0,0.002580673,0
15,September,-0.14,0,0.03,1301,953,478,1427,Thursday,0,0.002210233,0
16,September,0.04,0,-0.02,1161,732,393,1276,Friday,0,0.002422445,0
17,September,0.26,1,0.05,1263,935,459,1247,Saturday,0,0.0028115,0
18,September,0.59,1,-0.05,1305,1573,677,976,Sunday,0,0.004751194,0
19,September,-0.24,1,0.01,2309,2293,637,2418,Monday,0,0.003583407,0
20,September,-0.17,0,-0.01,1996,1284,571,1924,Tuesday,0,0.003013164,0
21,September,-0.15,0,-0.04,1768,1152,469,1467,Wednesday,0,0.002661959,0
22,September,-0.13,0,0.06,1401,870,366,1653,Thursday,0,0.002164315,0
23,September,-0.03,0,-0.04,1075,772,348,1293,Friday,0,0.002259873,0
24,September,0.08,0,0.05,1270,786,407,1179,Saturday,0,0.002307652,0
25,September,0.98,1,0.01,1244,1148,437,890,Sunday,0,0.004496787,0
26,September,-0.24,1,0,2268,2119,691,2169,Monday,0,0.003454962,0
27,September,-0.3,1,-0.04,1880,1138,516,2034,Tuesday,0,0.002495664,0
28,September,-0.08,0,0.03,1470,826,444,1282,Wednesday,0,0.002243119,0
29,September,-0.11,0,-0.06,1079,1001,390,1145,Thursday,0,0.002077445,0
30,September,0.22,1,0.04,1131,633,463,1121,Friday,0,0.002504972,0
1,October,0.17,0,0.04,1138,962,555,1382,Saturday,0,0.002765583,1
2,October,0.64,1,-0.01,1228,1514,598,1117,Sunday,0,0.004588622,1
3,October,-0.27,1,0,2419,2376,638,1962,Monday,0,0.003347615,1
4,October,-0.11,0,-0.02,1887,1025,471,2012,Tuesday,0,0.003034882,1
5,October,-0.12,0,0.02,1391,1373,488,1639,Wednesday,0,0.002612319,1
6,October,-0.09,0,-0.04,1318,949,430,1513,Thursday,0,0.002414378,1
7,October,0.15,0,0.02,1312,914,526,1139,Friday,0,0.002630313,1
8,October,0.04,0,0.05,1391,1044,364,1440,Saturday,0,0.002770547,1
9,October,0.62,1,0.02,1365,1468,550,1082,Sunday,0,0.004470106,1
10,October,-0.2,1,-0.05,2459,2042,687,2016,Monday,0,0.003663451,1
11,October,-0.25,1,0,1912,1349,596,2047,Tuesday,0,0.002715943,1
12,October,-0.12,0,0.01,1652,938,468,1319,Wednesday,0,0.002457193,1
13,October,0.02,0,-0.02,1225,1060,420,1255,Thursday,0,0.002447885,1
14,October,-0.12,0,-0.02,1304,847,511,1283,Friday,0,0.002302067,1
15,October,0.21,1,0.05,1303,881,438,1088,Saturday,0,0.00260115,1
16,October,0.79,1,0,1382,1448,563,799,Sunday,0,0.004777255,1
17,October,-0.29,1,-0.02,2782,2387,581,1949,Monday,0,0.003442552,1
18,October,-0.26,1,-0.01,1872,1204,450,2022,Tuesday,0,0.002475808,1
19,October,0.04,0,-0.01,1390,952,428,1220,Wednesday,0,0.002681195,1
20,October,-0.16,0,-0.03,1590,946,360,1425,Thursday,0,0.002313236,1
21,October,0,0,0.04,1195,870,357,1306,Friday,0,0.002230089,1
22,October,0.3,1,0.02,1103,922,470,1099,Saturday,0,0.002660718,1
23,October,0.58,1,-0.04,1528,1336,420,1004,Sunday,0,0.00458614,1
24,October,-0.33,1,-0.03,2601,2203,668,1919,Monday,0,0.00324275,1
25,October,-0.23,1,0.01,2045,1329,336,1516,Tuesday,0,0.002463398,1
26,October,-0.12,0,-0.01,1459,749,471,1291,Wednesday,0,0.002154387,1
27,October,0.11,0,0.05,1269,923,373,907,Thursday,0,0.002166797,1
28,October,-0.04,0,0,1244,816,387,1045,Friday,0,0.002163074,1
29,October,0.15,0,-0.01,1128,942,482,934,Saturday,0,0.002575089,1
30,October,0.74,1,0.01,1379,1284,467,1020,Sunday,0,0.004414881,1
31,October,-0.33,1,-0.03,2423,2025,635,2032,Monday,0,0.003072732,1
1,November,-0.07,0,0,1750,1169,461,1572,Tuesday,1,0.002879756,1
2,November,-0.02,0,0,1572,1163,527,1379,Wednesday,1,0.002763101,1
3,November,-0.14,0,0.06,1665,1014,348,1426,Thursday,1,0.002179828,1
4,November,0.06,0,-0.03,1146,922,383,1062,Friday,1,0.002512418,1
5,November,0.16,0,0.03,1268,1069,469,1243,Saturday,1,0.002852454,1
6,November,0.61,1,0,1576,1570,594,857,Sunday,1,0.004596688,1
7,November,-0.27,1,-0.01,2357,2298,596,2157,Monday,1,0.003196833,1
8,November,-0.15,0,0,1593,1029,380,2150,Tuesday,1,0.002837562,1
9,November,-0.03,0,-0.02,1249,1182,286,1856,Wednesday,1,0.002720907,1
10,November,-0.03,0,0.02,1425,1107,241,1612,Thursday,1,0.002575089,1
11,November,0,0,0.02,1167,1001,350,1632,Friday,1,0.002473326,1
12,November,0.13,0,0.01,1369,1026,282,1309,Saturday,1,0.002830736,1
13,November,0.48,1,-0.04,1723,1262,322,1255,Sunday,1,0.004540843,1
14,November,-0.26,1,0.03,2201,2139,492,2486,Monday,1,0.003220412,1
15,November,-0.15,0,-0.02,1563,1076,347,2204,Tuesday,1,0.002779855,1
16,November,-0.07,0,-0.02,1290,1063,357,1770,Wednesday,1,0.00267561,1
17,November,-0.15,0,0,1272,816,202,2022,Thursday,1,0.002274765,1
18,November,0.03,0,-0.01,1138,759,313,1456,Friday,1,0.002343641,1
19,November,0.24,1,0.01,1102,794,310,1571,Saturday,1,0.002896509,1
20,November,0.62,1,0,1530,1275,549,1314,Sunday,1,0.004675492,1
21,November,-0.38,1,-0.04,2630,2168,376,2361,Monday,1,0.00301999,1
22,November,0.03,0,0.02,1781,1189,178,1719,Tuesday,1,0.003043569,1
23,November,0.21,1,-0.05,1440,1307,251,1907,Wednesday,1,0.003769557,1
24,November,0.04,0,0.04,1906,1452,271,2446,Thursday,1,0.003873182,1
25,November,-0.49,1,0.04,1839,3068,823,512,Friday,1,0.001855925,1
26,November,0.3,1,-0.01,1097,669,163,1062,Saturday,1,0.00250249,1
27,November,0.66,1,0.04,1510,1341,247,935,Sunday,1,0.00392034,1
28,November,-0.23,1,-0.03,2353,1930,198,1837,Monday,1,0.003095691,1
29,November,-0.13,0,-0.03,1812,956,247,1974,Tuesday,1,0.002767445,1
30,November,-0.01,0,0,1498,1094,285,1583,Wednesday,1,0.002716563,1
