Date	Month	SaleVal	Surge	Price	Evening	Midday	Morning	Night	Day	Festival	TransactionFraction	Season	Week	WeekSales
17	May	0.43	1	-0.04	2386	1863	563	2329	Sunday	0	0.004128476	0	3	0.222
18	May	-0.23	1	-0.02	1772	1076	351	2227	Monday	0	0.003136971	0	3	0.222
19	May	-0.22	1	-0.06	1284	958	404	1894	Tuesday	0	0.002624742	0	3	0.222
20	May	-0.04	0	0.05	1272	739	344	1696	Wednesday	0	0.002342033	0	3	0.222
21	May	-0.04	0	-0.02	1266	831	451	1518	Thursday	0	0.002350705	0	3	0.222
22	May	0.06	0	0.05	1308	1068	338	1359	Friday	0	0.002354752	0	4	0.222
23	May	0.12	0	-0.01	1376	1568	523	1209	Saturday	0	0.002703368	0	4	0.222
24	May	0.29	1	0.01	1992	1891	619	1591	Sunday	0	0.003522588	0	4	0.2185
25	May	0.04	0	-0.02	2085	2007	383	1832	Monday	0	0.00364631	0	4	0.2185
26	May	-0.32	1	0.00	1289	939	372	1753	Tuesday	0	0.00251663	0	4	0.2185
27	May	-0.07	0	0.00	1188	845	300	1637	Wednesday	0	0.002295204	0	4	0.2185
28	May	-0.09	0	0.06	862	870	375	1224	Thursday	0	0.001925774	0	4	0.2185
29	May	0.19	0	-0.03	1388	1044	286	1586	Friday	0	0.002488301	0	4	0.2185
30	May	0.14	0	0.00	1673	1487	351	1285	Saturday	0	0.002772745	0	4	0.2185
31	May	0.32	1	-0.01	2331	1733	461	1958	Sunday	0	0.003748062	0	4	0.0423
1	June	-0.11	0	-0.02	1774	1341	446	2127	Monday	0	0.003288443	0	1	0.0423
2	June	-0.21	1	-0.01	1441	1073	302	1766	Tuesday	0	0.002649023	0	1	0.0423
3	June	0.02	0	0.01	1475	1154	217	1816	Wednesday	0	0.002695274	0	1	0.0423
4	June	-0.12	0	0.03	1370	971	329	1467	Thursday	0	0.002391753	0	1	0.0423
5	June	0.07	0	-0.07	1598	1324	298	1505	Friday	0	0.002731697	0	1	0.0423
6	June	0	0	0.05	1476	1292	441	1271	Saturday	0	0.002590054	0	1	0.0423
7	June	0.56	1	0.03	2053	2040	731	2071	Sunday	0	0.003986254	0	1	0.2334
8	June	-0.2	0	-0.02	1611	1290	319	2384	Monday	0	0.003239879	0	2	0.2334
9	June	-0.21	1	-0.02	1446	1096	276	1706	Tuesday	0	0.002615492	0	2	0.2334
10	June	0.02	0	0.00	1530	1042	344	1647	Wednesday	0	0.002638039	0	2	0.2334
11	June	-0.07	0	0.01	1203	1013	350	1614	Thursday	0	0.002416612	0	2	0.2334
12	June	-0.09	0	0.02	1038	932	233	1551	Friday	0	0.002170326	0	2	0.2334
13	June	0.19	0	0.06	1319	1247	401	1244	Saturday	0	0.002434535	0	2	0.2334
14	June	0.41	1	-0.03	2033	1723	395	2055	Sunday	0	0.003587918	0	2	0.2361
15	June	-0.08	0	-0.02	1716	1071	452	2484	Monday	0	0.003308678	0	3	0.2361
16	June	-0.31	1	-0.02	1388	992	355	1459	Tuesday	0	0.002424706	0	3	0.2361
17	June	0.08	0	-0.01	1283	1156	351	1718	Wednesday	0	0.002606241	0	3	0.2361
18	June	0.02	0	0.07	1272	833	351	1733	Thursday	0	0.002421816	0	3	0.2361
19	June	-0.01	0	-0.01	1279	1059	382	1678	Friday	0	0.002542646	0	3	0.2361
20	June	0.06	0	0.00	1285	1457	526	1291	Saturday	0	0.002635726	0	3	0.2361
21	June	0.39	1	0.00	1776	2215	672	1612	Sunday	0	0.003627809	0	3	0.2228
22	June	-0.19	0	-0.02	1542	1100	307	2364	Monday	0	0.003071642	0	4	0.2228
23	June	-0.15	0	0.03	1619	858	326	1498	Tuesday	0	0.002486567	0	4	0.2228
24	June	-0.05	0	-0.04	1205	1097	305	1662	Wednesday	0	0.002468067	0	4	0.2228
25	June	-0.17	0	-0.04	1110	773	372	1516	Thursday	0	0.002180154	0	4	0.2228
26	June	0.08	0	0.05	1240	895	349	1305	Friday	0	0.002190561	0	4	0.2228
27	June	0.09	0	0.01	1452	1118	399	1234	Saturday	0	0.00242991	0	4	0.2228
28	June	0.57	1	-0.05	2396	1798	604	2201	Sunday	0	0.00404638	0	4	0.1133
29	June	-0.21	1	0.02	1671	1278	346	2147	Monday	0	0.003146221	0	4	0.1133
30	June	-0.14	0	-0.01	1373	983	537	1787	Tuesday	0	0.002705681	0	4	0.1133
1	July	-0.01	0	0.06	1404	1014	476	1391	Wednesday	0	0.002477317	0	1	0.1133
2	July	-0.06	0	-0.01	1210	986	344	1620	Thursday	0	0.00240505	0	1	0.1133
3	July	0.17	0	0.03	1749	1167	363	1400	Friday	0	0.002705103	0	1	0.1133
4	July	0.19	0	0.04	1582	2162	719	936	Saturday	0	0.003121361	0	1	0.1133
5	July	0.01	0	-0.05	1943	1596	377	1837	Sunday	0	0.003326022	0	1	0.2347
6	July	0.01	0	-0.01	1805	1333	376	2216	Monday	0	0.003312725	0	1	0.2347
7	July	-0.21	1	-0.02	1645	1070	347	1522	Tuesday	0	0.00265018	0	1	0.2347
8	July	-0.12	0	-0.01	1302	1045	338	1490	Wednesday	0	0.002413722	0	2	0.2347
9	July	0.11	0	0.00	1593	996	357	1623	Thursday	0	0.002641508	0	2	0.2347
10	July	0.05	0	0.04	1310	1082	344	1771	Friday	0	0.002605663	0	2	0.2347
11	July	0.13	0	-0.02	1741	1600	504	1504	Saturday	0	0.003092455	0	2	0.2347
12	July	0.26	1	-0.02	2380	1773	595	1955	Sunday	0	0.003875252	0	2	0.2277
13	July	-0.21	1	0.02	1714	1072	452	1979	Monday	0	0.00301614	0	2	0.2277
14	July	-0.11	0	-0.02	1662	1104	377	1683	Tuesday	0	0.002790089	0	2	0.2277
15	July	-0.09	0	-0.02	1230	1135	253	1875	Wednesday	0	0.002597569	0	3	0.2277
16	July	-0.12	0	0.07	1034	868	290	1395	Thursday	0	0.002073777	0	3	0.2277
17	July	0.06	0	-0.05	1261	945	426	1491	Friday	0	0.002383659	0	3	0.2277
18	July	0.2	1	0.02	1565	1667	545	1068	Saturday	0	0.002801073	0	3	0.2277
19	July	0.31	1	-0.02	2092	1889	627	1606	Sunday	0	0.003592543	0	3	0.2201
20	July	-0.11	0	0.00	1798	1292	379	1963	Monday	0	0.00314044	0	3	0.2201
21	July	-0.26	1	-0.03	1318	1000	354	1556	Tuesday	0	0.002444363	0	3	0.2201
22	July	-0.04	0	0.02	1399	1046	319	1305	Wednesday	0	0.002352439	0	4	0.2201
23	July	0.01	0	0.00	1143	923	361	1552	Thursday	0	0.002300407	0	4	0.2201
24	July	0.02	0	0.00	1404	963	310	1565	Friday	0	0.002452457	0	4	0.2201
25	July	0.09	0	0.01	1376	1408	573	1161	Saturday	0	0.002612023	0	4	0.2201
26	July	0.47	1	-0.01	2322	1834	542	2122	Sunday	0	0.003942894	0	4	0.1895
27	July	-0.25	1	-0.04	1657	1194	352	2104	Monday	0	0.003068173	0	4	0.1895
28	July	-0.17	0	-0.01	1422	1106	321	1597	Tuesday	0	0.002570397	0	4	0.1895
29	July	-0.01	0	0.03	1335	1101	196	1624	Wednesday	0	0.002460551	0	4	0.1895
30	July	0.03	0	0.01	1304	1028	385	1513	Thursday	0	0.002445519	0	4	0.1895
31	July	0.05	0	0.03	1458	1099	284	1430	Friday	0	0.002469223	0	4	0.1895
1	August	0.1	0	0.03	1348	1563	516	1222	Saturday	0	0.002687759	0	1	0.1895
2	August	0.45	1	-0.03	1978	2218	536	2224	Sunday	0	0.004021521	0	1	0.2317
3	August	-0.21	1	-0.02	1845	1318	456	1975	Monday	0	0.003234098	0	1	0.2317
4	August	-0.16	0	-0.04	1418	1229	369	1854	Tuesday	0	0.002815527	0	1	0.2317
5	August	-0.04	0	0.07	1327	1280	349	1535	Wednesday	0	0.002596413	0	1	0.2317
6	August	-0.04	0	-0.02	1451	976	384	1526	Thursday	0	0.00250738	0	1	0.2317
7	August	0	0	-0.04	1466	1065	334	1627	Friday	0	0.002596991	0	1	0.2317
8	August	0.14	0	0.07	1646	1278	517	1403	Saturday	0	0.002800495	0	2	0.2317
9	August	0.43	1	0.00	2225	2003	624	2098	Sunday	0	0.004018052	0	2	0.2321
10	August	-0.18	0	-0.05	1750	1594	460	2129	Monday	0	0.003430086	0	2	0.2321
11	August	-0.18	0	0.01	1454	1156	523	1658	Tuesday	0	0.002769854	0	2	0.2321
12	August	-0.07	0	0.01	1379	1017	298	1676	Wednesday	0	0.002526458	0	2	0.2321
13	August	-0.04	0	-0.01	1375	818	490	1697	Thursday	0	0.00253224	0	2	0.2321
14	August	-0.03	0	0.02	1390	1099	406	1308	Friday	0	0.00242991	0	2	0.2321
15	August	0.19	0	0.00	1741	1440	598	1092	Saturday	0	0.002816105	0	3	0.2321
16	August	0.34	1	0.00	2060	1889	575	2107	Sunday	0	0.003833626	0	3	0.2135
17	August	-0.21	1	0.00	1187	1199	779	1992	Monday	0	0.002981452	0	3	0.2135
18	August	-0.14	0	-0.02	1361	975	394	1870	Tuesday	0	0.00265943	0	3	0.2135
19	August	-0.15	0	0.03	1138	912	310	1254	Wednesday	0	0.002089387	0	3	0.2135
20	August	-0.05	0	0.03	1119	854	344	1121	Thursday	0	0.001987635	0	3	0.2135
21	August	0.03	0	-0.02	1260	716	386	1236	Friday	0	0.002080137	0	3	0.2135
22	August	0.39	1	0.01	1617	1444	459	1334	Saturday	0	0.002806277	0	4	0.2135
23	August	0.41	1	-0.03	2587	2145	543	2132	Sunday	0	0.00428226	0	4	0.2134
24	August	-0.33	1	-0.04	1637	1017	474	2048	Monday	0	0.002992437	0	4	0.2134
25	August	-0.15	0	-0.03	1189	1081	372	1544	Tuesday	0	0.002420081	0	4	0.2134
26	August	0.03	0	0.05	1200	851	476	1704	Wednesday	0	0.002446097	0	4	0.2134
27	August	-0.15	0	-0.02	996	777	361	1588	Thursday	0	0.002151826	0	4	0.2134
28	August	0.07	0	-0.02	1189	923	604	1363	Friday	0	0.002358221	0	4	0.2134
29	August	0.2	1	0.06	1454	1374	619	1203	Saturday	0	0.002688337	0	4	0.2134
30	August	0.53	1	0.01	2089	2196	643	2190	Sunday	0	0.004115179	0	4	0.0776
31	August	-0.31	1	-0.05	1510	1197	415	2039	Monday	0	0.002983765	0	4	0.0776
1	September	-0.17	0	0.01	1334	1122	380	1229	Tuesday	0	0.002350127	0	1	0.0776
2	September	0.07	0	0.08	1317	908	407	1496	Wednesday	0	0.002386549	0	1	0.0776
3	September	-0.03	0	0.00	1154	1021	411	1404	Thursday	0	0.002306766	0	1	0.0776
4	September	0.15	0	-0.05	1472	956	550	1793	Friday	0	0.002758291	0	1	0.0776
5	September	0.11	0	0.02	1895	1512	606	1318	Saturday	0	0.003082048	0	1	0.0776
6	September	0.15	0	0.02	1953	1849	666	1537	Sunday	0	0.003471712	0	1	0.2481
7	September	0.09	0	-0.04	1878	2146	934	1899	Monday	0	0.003964285	0	1	0.2481
8	September	-0.25	1	-0.01	1477	1205	601	1763	Tuesday	0	0.002917279	0	2	0.2481
9	September	-0.05	0	0.02	1486	974	475	1758	Wednesday	0	0.002713197	0	2	0.2481
10	September	-0.04	0	0.02	1076	1159	558	1518	Thursday	0	0.002492348	0	2	0.2481
11	September	-0.2	1	-0.06	1009	986	538	1324	Friday	0	0.002229874	0	2	0.2481
12	September	0.33	1	0.05	1317	1717	609	948	Saturday	0	0.002654227	0	2	0.2481
13	September	0.57	1	-0.02	2580	2263	777	2002	Sunday	0	0.00440656	0	2	0.2304
14	September	-0.38	1	0.01	1465	1052	555	1595	Monday	0	0.002698165	0	2	0.2304
15	September	-0.12	0	-0.01	1450	916	359	1536	Tuesday	0	0.002463442	0	3	0.2304
16	September	0.05	0	0.02	1337	965	332	1461	Wednesday	0	0.002367471	0	3	0.2304
17	September	-0.03	0	-0.02	1087	724	425	1599	Thursday	0	0.002217155	0	3	0.2304
18	September	-0.16	0	-0.02	1016	751	394	1493	Friday	0	0.002112512	0	3	0.2304
19	September	0.36	1	0.03	1548	1212	493	1400	Saturday	0	0.002690071	0	3	0.2304
20	September	0.53	1	0.00	2259	1993	583	2456	Sunday	0	0.004215196	0	3	0.2308
21	September	-0.22	1	-0.01	1827	1101	560	2361	Monday	0	0.003381523	0	3	0.2308
22	September	-0.29	1	0.00	1277	972	330	1407	Tuesday	0	0.002304454	0	4	0.2308
23	September	0.1	0	-0.03	1361	924	440	1825	Wednesday	0	0.002630523	0	4	0.2308
24	September	-0.12	0	0.09	995	802	445	1402	Thursday	0	0.002106731	0	4	0.2308
25	September	-0.06	0	-0.08	1154	783	510	1312	Friday	0	0.002173217	0	4	0.2308
26	September	0.17	0	0.03	1138	1291	589	1298	Saturday	0	0.002495239	0	4	0.2308
27	September	0.57	1	-0.01	2101	2145	717	2029	Sunday	0	0.004042334	0	4	0.1332
28	September	-0.28	1	-0.01	1481	1030	512	1991	Monday	0	0.002898779	0	4	0.1332
29	September	-0.23	1	0.01	1274	777	327	1440	Tuesday	0	0.002207327	0	4	0.1332
30	September	0.04	0	0.00	1351	979	408	1205	Wednesday	0	0.002279594	0	4	0.1332
1	October	-0.12	0	0.01	1121	682	341	1277	Thursday	0	0.001977806	1	1	0.1332
2	October	0.12	0	-0.02	1146	844	509	1433	Friday	0	0.002273234	1	1	0.1332
3	October	0.32	1	0.05	1529	1402	588	1429	Saturday	0	0.002860622	1	1	0.1332
4	October	0.48	1	-0.01	2656	2426	745	1720	Sunday	0	0.0043632	1	1	0.242
5	October	-0.23	1	-0.02	2143	1253	653	1814	Monday	0	0.003389617	1	1	0.242
6	October	-0.3	1	0.00	1248	1057	489	1294	Tuesday	0	0.002363424	1	1	0.242
7	October	0.02	0	-0.03	1263	873	412	1638	Wednesday	0	0.002420081	1	1	0.242
8	October	0.02	0	0.08	1133	1115	567	1238	Thursday	0	0.002343189	1	2	0.242
9	October	0.01	0	-0.06	1298	992	451	1568	Friday	0	0.002491192	1	2	0.242
10	October	0.12	0	-0.01	1687	1456	687	1155	Saturday	0	0.002882013	1	2	0.242
11	October	0.51	1	0.01	2322	2096	798	2334	Sunday	0	0.004364934	1	2	0.2308
12	October	-0.26	1	0.02	1628	1145	556	1893	Monday	0	0.003019031	1	2	0.2308
13	October	-0.22	1	-0.05	1481	980	444	1540	Tuesday	0	0.002569819	1	2	0.2308
14	October	-0.13	0	0.05	1106	763	287	1497	Wednesday	0	0.002111934	1	2	0.2308
15	October	0.02	0	0.03	1329	821	402	1059	Thursday	0	0.002087653	1	3	0.2308
16	October	0.08	0	0.00	1315	753	434	1467	Friday	0	0.002294626	1	3	0.2308
17	October	0.23	1	0.01	1499	1216	506	1344	Saturday	0	0.002639195	1	3	0.2308
18	October	0.41	1	-0.02	2572	2076	512	1827	Sunday	0	0.004039443	1	3	0.2236
19	October	-0.24	1	-0.01	1591	1086	471	2075	Monday	0	0.003019609	1	3	0.2236
20	October	-0.2	1	-0.02	1406	1157	334	1326	Tuesday	0	0.002441472	1	3	0.2236
21	October	0.06	0	0.03	1412	881	373	1493	Wednesday	0	0.002404472	1	3	0.2236
22	October	-0.19	0	0.02	1106	844	394	1146	Thursday	0	0.002017698	1	4	0.2236
