State,District,Subdistrict,City,City_Regiotype,Pincode,Locality,Sublocality,Sublocality_ID,Building_Type
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Sumeru,251,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380058,Thaltej,PRL Colony,185,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Sumeru,251,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Hebatpur Village,79,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Gurukul,Sunrise Park,254,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Thaltej,Someshwar Park III,245,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Thaltej,Nirant Park Society Part 1,148,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Gurukul,Sunrise Park,254,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Mem Nagar,Mem Nagar,348,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380051,Bodakdev,Bodakdev,293,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Someshwar Park III,245,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Thaltej,Nirant Park Society Part 2,149,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Sumeru,251,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Ghatlodia,Shenbhai Nagar,239,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Gurukul,Sunrise Park,254,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Mem Nagar,Nilmani Society,147,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Panchamrut Bunglows II,155,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vikram Nagar,Vikram Nagar,430,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Bhaikakanagar,19,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Sumeru,251,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Hebatpur Village,79,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Ashok Vatika,Ashok Vatika,287,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Someshwar Park III,245,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Panchamrut Bunglows II,155,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vikram Nagar,Vikram Nagar,430,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Bhaikakanagar,19,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Gurukul,Sunrise Park,254,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380061,Ghatlodia,Shenbhai Nagar,239,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Ashok Vatika,Ashok Vatika,287,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380058,Thaltej,PRL Colony,185,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Bhaikakanagar,19,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Mem Nagar,Nilmani Society,147,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Sumeru,251,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Bhaikakanagar,19,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380015,Vastrapur,Vastrapur,426,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Vastrapur,Vastrapur,426,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380058,Ashok Vatika,Ashok Vatika,287,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Ashok Vatika,Ashok Vatika,287,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380058,Thaltej,PRL Colony,185,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Sumeru,251,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Satellite,Premchand Nagar,182,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Ashok Vatika,Ashok Vatika,287,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Bhaikakanagar,19,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Panchamrut Bunglows II,155,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Bhaikakanagar,19,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Ashok Vatika,Ashok Vatika,287,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Satellite,Premchand Nagar,182,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vastrapur,Vastrapur,426,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Mem Nagar,Mem Nagar,348,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Ashok Vatika,Ashok Vatika,287,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380015,Satellite,Premchand Nagar,182,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vastrapur,Vastrapur,426,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Ashok Vatika,Ashok Vatika,287,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Mem Nagar,Nilmani Society,147,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Sumeru,251,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Someshwar Park III,245,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Thaltej,Nirant Park Society Part 2,149,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Gurukul,Sunrise Park,254,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Ashok Vatika,Ashok Vatika,287,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380063,Thaltej,Someshwar Park III,245,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380051,Vikram Nagar,Vikram Nagar,430,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380052,Mem Nagar,Mem Nagar,348,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Satellite,Premchand Nagar,182,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Gurukul,Sunrise Park,254,Less than 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380059,Thaltej,Panchamrut Bunglows II,155,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Gurukul,Sunrise Park,254,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380051,Satellite,Premchand Nagar,182,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Gurukul,Sunrise Park,254,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Apartment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Thaltej,Nirant Park Society Part 1,148,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vikram Nagar,Vikram Nagar,430,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Thaltej,Someshwar Park III,245,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Vastrapur,Vastrapur,426,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380063,Mem Nagar,Mem Nagar,348,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Thaltej,Someshwar Park III,245,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Satellite,Premchand Nagar,182,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380015,Bodakdev,Bodakdev,293,Villas
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Thaltej,Nirant Park Society Part 2,149,Private Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Mem Nagar,Nilmani Society,147,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Satellite,Premchand Nagar,182,Govt Constructed
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Thaltej,Someshwar Park III,245,More then 5 years old
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380051,Satellite,Premchand Nagar,182,Apartment
